,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,0.54428071975708,0.010260617264701895,0.5813629150390625,0.019228066023212673,2,rbf,0.01,"{'C': 2, 'kernel': 'rbf', 'tol': 0.01}",0.7829500841278744,0.7924845765563657,0.8008973639932697,0.804823331463825,0.7964105440269209,79.55131800336511,0.007529640581868034,8
28,0.6779778480529786,0.016348894035640153,0.2167487621307373,0.0061050287796197535,2,sigmoid,0.001,"{'C': 2, 'kernel': 'sigmoid', 'tol': 0.001}",0.5558048233314639,0.5558048233314639,0.5619742007851934,0.5210319685922602,0.5204711160964667,54.30173864273697,0.01831988427347662,47
29,0.6786191463470459,0.01758041376701397,0.21527314186096191,0.007132128015155547,2,sigmoid,0.01,"{'C': 2, 'kernel': 'sigmoid', 'tol': 0.01}",0.5558048233314639,0.5558048233314639,0.5619742007851934,0.5204711160964667,0.519910263600673,54.27930454290523,0.018592577457114134,48
30,0.5186948299407959,0.011033547564344043,0.12555580139160155,0.001921657979927419,2,poly,0.001,"{'C': 2, 'kernel': 'poly', 'tol': 0.001}",0.7795849691531127,0.7829500841278744,0.786315199102636,0.7908020190689848,0.7891194615816041,78.57543466068424,0.004075356617966346,14
31,0.5082890033721924,0.010161756381703404,0.12648611068725585,0.005985272307532217,2,poly,0.01,"{'C': 2, 'kernel': 'poly', 'tol': 0.01}",0.7795849691531127,0.7840717891194616,0.7874369040942232,0.7913628715647785,0.7879977565900168,78.60908581043185,0.0039911266123740215,13
32,1.5257440090179444,0.06403495318817146,0.1332920551300049,0.0038402533749066956,5,linear,0.001,"{'C': 5, 'kernel': 'linear', 'tol': 0.001}",0.7139652271452608,0.7358384744812114,0.7414469994391475,0.727986539540101,0.7313516545148626,73.01177790241168,0.00925253645644477,34
33,1.4328107833862305,0.05790101741955526,0.13306360244750975,0.002594648501312455,5,linear,0.01,"{'C': 5, 'kernel': 'linear', 'tol': 0.01}",0.7139652271452608,0.7352776219854178,0.7408861469433539,0.7285473920358946,0.7313516545148626,73.0005608524958,0.009026763674136035,36
34,0.5773468494415284,0.006289682613586872,0.5538930892944336,0.010726597004476925,5,rbf,0.001,"{'C': 5, 'kernel': 'rbf', 'tol': 0.001}",0.7936062815479529,0.8042624789680314,0.8143578238923164,0.8070667414469994,0.8070667414469994,80.52720134604601,0.006724619085730521,3
35,0.592678165435791,0.07678899540083804,0.5760412216186523,0.043320054062415035,5,rbf,0.01,"{'C': 5, 'kernel': 'rbf', 'tol': 0.01}",0.7936062815479529,0.804823331463825,0.8137969713965227,0.8070667414469994,0.8070667414469994,80.52720134604601,0.006563651750231211,3
36,0.6646503925323486,0.02526142327100589,0.21401333808898926,0.006005975919046194,5,sigmoid,0.001,"{'C': 5, 'kernel': 'sigmoid', 'tol': 0.001}",0.5614133482893999,0.5473920358945598,0.5715086932136848,0.532809871003926,0.5165451486259114,54.593381940549634,0.01965577966878576,42
37,0.6591000080108642,0.015593278439870144,0.2118907928466797,0.009383174859805683,5,sigmoid,0.01,"{'C': 5, 'kernel': 'sigmoid', 'tol': 0.01}",0.5619742007851934,0.5473920358945598,0.5715086932136848,0.532809871003926,0.5165451486259114,54.60459899046551,0.019745194256696384,41
38,0.5852124691009521,0.039996538700606814,0.1234816074371338,0.009329466450094111,5,poly,0.001,"{'C': 5, 'kernel': 'poly', 'tol': 0.001}",0.7919237240605721,0.786315199102636,0.7964105440269209,0.7947279865395401,0.8037016264722378,79.46158160403814,0.005690925807724403,9
39,0.5265388011932373,0.010729908394100195,0.12371025085449219,0.003274590498685369,5,poly,0.01,"{'C': 5, 'kernel': 'poly', 'tol': 0.01}",0.7924845765563657,0.786315199102636,0.7958496915311273,0.7947279865395401,0.8031407739764442,79.45036455412226,0.005433036921284277,10
40,2.1901652812957764,0.03378887473757972,0.13063545227050782,0.002329661136660482,10,linear,0.001,"{'C': 10, 'kernel': 'linear', 'tol': 0.001}",0.7139652271452608,0.7358384744812114,0.7425687044307347,0.727986539540101,0.7302299495232754,73.01177790241168,0.00952062598942141,34
41,1.9943426132202149,0.036691972493350475,0.13280777931213378,0.0031491275739237794,10,linear,0.01,"{'C': 10, 'kernel': 'linear', 'tol': 0.01}",0.7139652271452608,0.7352776219854178,0.7420078519349411,0.7285473920358946,0.7313516545148626,73.02299495232754,0.009304067909513282,31
42,0.6040411472320557,0.009304331402293546,0.5304543495178222,0.009749528894594852,10,rbf,0.001,"{'C': 10, 'kernel': 'rbf', 'tol': 0.001}",0.807627593942793,0.8070667414469994,0.8149186763881099,0.8098710039259674,0.8154795288839035,81.09927089175545,0.003564834230414061,1
43,0.5727733135223388,0.010948464316019169,0.5246446132659912,0.007154600798854275,10,rbf,0.01,"{'C': 10, 'kernel': 'rbf', 'tol': 0.01}",0.8081884464385867,0.8065058889512058,0.8154795288839035,0.8093101514301738,0.8143578238923164,81.07683679192374,0.0035222251190370514,2
44,0.643299913406372,0.027274795986103398,0.21484861373901368,0.007330017728759158,10,sigmoid,0.001,"{'C': 10, 'kernel': 'sigmoid', 'tol': 0.001}",0.5591699383062254,0.5457094784071789,0.5759955131800336,0.5305664610207516,0.5098149186763881,54.42512619181154,0.022827730067374083,45
45,0.6629589080810547,0.022468187087994727,0.2180999755859375,0.005800256966281898,10,sigmoid,0.01,"{'C': 10, 'kernel': 'sigmoid', 'tol': 0.01}",0.5591699383062254,0.5457094784071789,0.5759955131800336,0.5305664610207516,0.5098149186763881,54.42512619181154,0.022827730067374083,45
46,0.6467013835906983,0.034973399241813016,0.12206225395202637,0.003717484002096107,10,poly,0.001,"{'C': 10, 'kernel': 'poly', 'tol': 0.001}",0.7964105440269209,0.7919237240605721,0.8065058889512058,0.7936062815479529,0.8059450364554123,79.88782950084128,0.006170397101278768,5
47,0.5952484130859375,0.014128057796649277,0.11832084655761718,0.0012483344501717213,10,poly,0.01,"{'C': 10, 'kernel': 'poly', 'tol': 0.01}",0.7969713965227145,0.7919237240605721,0.8059450364554123,0.7930454290521592,0.804823331463825,79.85417835109367,0.005843641627652776,6
